ATC_LVL5,ATC_LVL4,ATC_LVL3,ATC_LVL2,ATC_LVL1
gentamicin,antiinfectives,"antiinfectives, ophthalmologic and otologic",ophthalmological and otological preparations,sensory organ drugs
gentamicin,antiinfectives,"antiinfective drugs, otologic",otologicals,sensory organ drugs
yohimbine,drugs used in erectile dysfunction,urologicals,urologicals,genito urinary system and sex hormones
oxomemazine,"phenothiazine derivatives, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
chondroitin sulfate,"other antiinflammatory and antirheumatic agents, non-steroids in atc","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
alum,other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
fluocortolone and antiinfectives,"corticosteroids and antiinfectives in combination, opthalmologic",antiinflammatory agents and antiinfectives in combination,ophthalmologicals,sensory organ drugs
fludiazepam,benzodiazepine derivative anxiolytics,anxiolytics,psycholeptics,nervous system drugs
follitropin alfa,gonadotropins,gonadotropins and other ovulation stimulants,sex hormones and modulators of the genital system,genito urinary system and sex hormones
"lansoprazole, amoxicillin and levofloxacin",combinations for eradication of helicobacter pylori,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),drugs for acid related disorders,alimentary tract and metabolism drugs
sarilumab,interleukin inhibitors,immunosuppressants,immunosuppressants,antineoplastic and immunomodulating agents
desoxycortone,"mineralocorticoids for systemic use, plain","corticosteroids for systemic use, plain",corticosteroids for systemic use,"systemic hormonal preparations, excl. sex hormones and insulins"
meclofenamic acid,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
chloramphenicol,other antibiotics for topical use in atc,antibiotics for topical use,antibiotics and chemotherapeutics for dermatological use,dermatologicals
arterolane and piperaquine,other antimalarials in atc,antimalarials,antiprotozoals,"antiparasitic products, insecticides and repellents"
teicoplanin,glycopeptide antibacterials,other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
demeclocycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use
sulfadiazine,intermediate-acting sulfonamides,sulfonamides and trimethoprim antibacterials for systemic use,antibacterials for systemic use,antiinfectives for systemic use
metamizole sodium,"pyrazolones, analgesics and antipyretics",other analgesics and antipyretics in atc,analgesics,nervous system drugs
amisulpride,benzamide antipsychotics,antipsychotics,psycholeptics,nervous system drugs
vitamin a concentrates,diagnostic agents for fat absorption testing,other diagnostic agents in atc,diagnostic agents,various drug classes in atc
fluorometholone and antiinfectives,"corticosteroids and antiinfectives in combination, opthalmologic",antiinflammatory agents and antiinfectives in combination,ophthalmologicals,sensory organ drugs
fenoterol and ipratropium bromide,adrenergic inhalants in combinations with anticholinergics incl. triple combinations with corticosteroids,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs
tetracycline,"antibiotics, ophthalmologic",antiinfective ophthalmologics,ophthalmologicals,sensory organ drugs
stavudine,nucleoside and nucleotide reverse transcriptase inhibitors,direct acting antivirals,antivirals for systemic use,antiinfectives for systemic use
cetuximab,"monoclonal antibodies, antineoplastic",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
veratrum,"alkaloids, excl. rauwolfia, antihypertensives",other antihypertensives in atc,antihypertensives,cardiovascular system drugs
cefaloridine,first-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
amiloride,other potassium-sparing agents in atc,potassium-sparing diuretics,diuretics,cardiovascular system drugs
sulfobromophthalein,liver functional capacity test diagnostic agents,other diagnostic agents in atc,diagnostic agents,various drug classes in atc
phenprobamate,"carbamic acid esters, centrally acting muscle relaxants","muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
oxametacin,acetic acid derivatives and related substances,"antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
"limbal stems cells, autologous",other ophthalmologicals in atc,other ophthalmologicals in atc,ophthalmologicals,sensory organ drugs
"chlorphenamine, combinations","substituted alkylamines, systemic antihistamines",antihistamines for systemic use,antihistamines for systemic use,respiratory system drugs
papaverine,papaverine and derivatives containing drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,drugs for functional gastrointestinal disorders,alimentary tract and metabolism drugs
fenetylline,centrally acting sympathomimetics,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
barnidipine,dihydropyridine derivative selective calcium channel blockers with mainly vascular effects,selective calcium channel blockers with mainly vascular effects,calcium channel blockers,cardiovascular system drugs
vinflunine,"vinca alkaloids and analogues, antineoplastic","plant alkaloids and other natural products, antineoplastic drugs",antineoplastic agents,antineoplastic and immunomodulating agents
benzydamine,antiinflammatory products for vaginal administration,other gynecologicals in atc,other gynecologicals in atc,genito urinary system and sex hormones
bitolterol,selective beta-2-adrenoreceptor agonist inhalants,"adrenergics, inhalants",drugs for obstructive airway diseases,respiratory system drugs
benzoyl peroxide,peroxide anti-acne preparations for topical use,anti-acne preparations for topical use,anti-acne preparations,dermatologicals
thyrotropin alfa,thyrotropin class in atc,anterior pituitary lobe hormones and analogues,pituitary and hypothalamic hormones and analogues,"systemic hormonal preparations, excl. sex hormones and insulins"
naftifine,other antifungals for topical use in atc,antifungals for topical use,antifungals for dermatological use,dermatologicals
cinnarizine,antivertigo preparations,antivertigo preparations,other nervous system drugs in atc,nervous system drugs
deferoxamine,iron chelating agents,all other therapeutic products,all other therapeutic products,various drug classes in atc
ornidazole,"imidazole derivatives, antibacterial for systemic use",other antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
styramate,"carbamic acid esters, centrally acting muscle relaxants","muscle relaxants, centrally acting agents",muscle relaxants,musculo-skeletal system drugs
dexibuprofen,"propionic acid derivatives, antiinflammatory and antirheumatic products","antiinflammatory and antirheumatic products, non-steroids",antiinflammatory and antirheumatic products,musculo-skeletal system drugs
cefozopran,fourth-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
artesunate and pyronaridine,"artemisinin and derivatives, combinations",antimalarials,antiprotozoals,"antiparasitic products, insecticides and repellents"
lymecycline,tetracyclines,tetracycline antibiotics,antibacterials for systemic use,antiinfectives for systemic use
dibutylphthalate,other insecticides and repellents in atc,insecticides and repellents,"ectoparasiticides, incl. scabicides, insecticides and repellents","antiparasitic products, insecticides and repellents"
bufexamac,"antiinflammatory preparations, non-steroids for topical use",topical products for joint and muscular pain,topical products for joint and muscular pain,musculo-skeletal system drugs
"codeine, combinations excl. psycholeptics",natural opium alkaloid analgesics,opioid analgesics,analgesics,nervous system drugs
betaine,amino acids and derivatives,other alimentary tract and metabolism products in atc,other alimentary tract and metabolism products in atc,alimentary tract and metabolism drugs
cefdinir,third-generation cephalosporins,other beta-lactam antibacterials in atc,antibacterials for systemic use,antiinfectives for systemic use
modafinil,centrally acting sympathomimetics,"psychostimulants, agents used for adhd and nootropics",psychoanaleptics,nervous system drugs
tiagabine,"fatty acid derivatives, antiepileptics",antiepileptics,antiepileptics,nervous system drugs
monoxerutin,bioflavonoid drugs for capillary stabilizing,capillary stabilizing agents,vasoprotectives,cardiovascular system drugs
dasatinib,"protein kinase inhibitors, antineoplastic drugs",other antineoplastic agents in atc,antineoplastic agents,antineoplastic and immunomodulating agents
chenodeoxycholic acid,bile acids and derivatives for bile therapy,bile therapy drugs,bile and liver therapy drugs,alimentary tract and metabolism drugs
